Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.51,"urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.2261,0.4414,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.52, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.2494,0.4154,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.53, "urn:cite:hmt:vaimg.VA155VN-0657@0.5045,0.2712,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.54, "urn:cite:hmt:vaimg.VA155VN-0657@0.5055,0.2893,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.55, "urn:cite:hmt:vaimg.VA155VN-0657@0.5045,0.3088,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.56, "urn:cite:hmt:vaimg.VA155VN-0657@0.4925,0.3261,0.4274,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.57, "urn:cite:hmt:vaimg.VA155VN-0657@0.4985,0.3449,0.4384,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.58, "urn:cite:hmt:vaimg.VA155VN-0657@0.5005,0.3636,0.4384,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.59, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.3839,0.4384,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.60, "urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.4005,0.4474,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.61, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.42,0.4474,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.62, "urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.441,0.4484,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.63, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.4576,0.4484,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.64, "urn:cite:hmt:vaimg.VA155VN-0657@0.4945,0.4786,0.4484,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.65, "urn:cite:hmt:vaimg.VA155VN-0657@0.4965,0.4951,0.4484,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.66, "urn:cite:hmt:vaimg.VA155VN-0657@0.4735,0.5184,0.4144,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.67, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.5304,0.4354,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.68, "urn:cite:hmt:vaimg.VA155VN-0657@0.4955,0.5522,0.4354,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.69, "urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.5695,0.4354,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.70, "urn:cite:hmt:vaimg.VA155VN-0657@0.4975,0.5905,0.4394,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.71, "urn:cite:hmt:vaimg.VA155VN-0657@0.4875,0.6071,0.4074,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.72, "urn:cite:hmt:vaimg.VA155VN-0657@0.4935,0.6319,0.4424,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.73, "urn:cite:hmt:vaimg.VA155VN-0657@0.4965,0.6484,0.4424,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.74, "urn:cite:hmt:vaimg.VA155VN-0657@0.4855,0.6657,0.4424,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.75, "urn:cite:hmt:vaimg.VA155VN-0657@0.4915,0.686,0.4424,0.0233"

